"filename", "language", "Haskell", "Makefile", "Markdown", "LBNF", "Happy", "Alex", "comment", "blank", "total"
"/home/gumis/programs/latte/Compiler/Compiler.hs", "Haskell", 5, 0, 0, 0, 0, 0, 0, 2, 7
"/home/gumis/programs/latte/Main.hs", "Haskell", 37, 0, 0, 0, 0, 0, 0, 5, 42
"/home/gumis/programs/latte/Makefile", "Makefile", 0, 12, 0, 0, 0, 0, 1, 6, 19
"/home/gumis/programs/latte/Optimizer/Data.hs", "Haskell", 42, 0, 0, 0, 0, 0, 0, 12, 54
"/home/gumis/programs/latte/Optimizer/Optimizer.hs", "Haskell", 300, 0, 0, 0, 0, 0, 5, 63, 368
"/home/gumis/programs/latte/Optimizer/Utils.hs", "Haskell", 29, 0, 0, 0, 0, 0, 0, 19, 48
"/home/gumis/programs/latte/README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 2
"/home/gumis/programs/latte/Syntax/AbsLattepp.hs", "Haskell", 205, 0, 0, 0, 0, 0, 9, 43, 257
"/home/gumis/programs/latte/Syntax/ErrM.hs", "Haskell", 46, 0, 0, 0, 0, 0, 20, 26, 92
"/home/gumis/programs/latte/Syntax/Lattepp.cf", "LBNF", 0, 0, 0, 80, 0, 0, 6, 86, 172
"/home/gumis/programs/latte/Syntax/LexLattepp.hs", "Haskell", 353, 0, 0, 0, 0, 0, 55, 165, 573
"/home/gumis/programs/latte/Syntax/LexLattepp.x", "Alex", 0, 0, 0, 0, 0, 177, 42, 50, 269
"/home/gumis/programs/latte/Syntax/Makefile", "Makefile", 0, 19, 0, 0, 0, 0, 7, 17, 43
"/home/gumis/programs/latte/Syntax/ParLattepp.hs", "Haskell", 1266, 0, 0, 0, 0, 0, 144, 275, 1685
"/home/gumis/programs/latte/Syntax/ParLattepp.y", "Happy", 0, 0, 0, 0, 234, 0, 6, 48, 288
"/home/gumis/programs/latte/Syntax/PrintLattepp.hs", "Haskell", 224, 0, 0, 0, 0, 0, 14, 54, 292
"/home/gumis/programs/latte/Syntax/SkelLattepp.hs", "Haskell", 107, 0, 0, 0, 0, 0, 3, 23, 133
"/home/gumis/programs/latte/Syntax/TestLattepp.hs", "Haskell", 62, 0, 0, 0, 0, 0, 2, 13, 77
"/home/gumis/programs/latte/Typechecker/Data.hs", "Haskell", 388, 0, 0, 0, 0, 0, 2, 68, 458
"/home/gumis/programs/latte/Typechecker/TypeChecker.hs", "Haskell", 424, 0, 0, 0, 0, 0, 43, 89, 556
"/home/gumis/programs/latte/Typechecker/Utils.hs", "Haskell", 126, 0, 0, 0, 0, 0, 2, 28, 156
"/home/gumis/programs/latte/Utils.hs", "Haskell", 109, 0, 0, 0, 0, 0, 7, 22, 138
"Total", "-", 3723, 31, 2, 80, 234, 177, 368, 1114, 5729